id;parish_name;baptism_date;confirmed_date;parish_baptised_at;prished_confirmed_at
1;payment;2023-05-18;2023-05-17;digital RSS;back
2;Salad;2023-05-18;2023-05-18;backing Arizona;Fish
3;Shirt Borders;2023-05-18;2023-05-18;drive;action-items Cotton
4;monitor;2023-05-17;2023-05-18;Idaho Operations;Music metrics optical
5;Checking;2023-05-18;2023-05-18;Licensed Mexico Practical;Croatia withdrawal
6;sky Soap;2023-05-18;2023-05-17;incentivize Lodge;synergy withdrawal Wooden
7;deposit;2023-05-18;2023-05-18;International Austria Borders;HTTP ROI Liaison
8;Forward;2023-05-18;2023-05-18;Generic Program;override Games Bedfordshire
9;Games Tasty programming;2023-05-18;2023-05-18;generating sensor ADP;intuitive neutral Toys
10;Cyprus;2023-05-17;2023-05-18;Virgin solid parse;Berkshire
