id;name;description;created_date
1;Fresh;../fake-data/blob/hipster.txt;2023-05-18
2;Avon;../fake-data/blob/hipster.txt;2023-05-17
3;Multi-lateral;../fake-data/blob/hipster.txt;2023-05-18
4;Wooden Unions online;../fake-data/blob/hipster.txt;2023-05-18
5;hybrid;../fake-data/blob/hipster.txt;2023-05-17
6;Sharable;../fake-data/blob/hipster.txt;2023-05-18
7;Director;../fake-data/blob/hipster.txt;2023-05-17
8;withdrawal neutral;../fake-data/blob/hipster.txt;2023-05-17
9;bypassing bluetooth;../fake-data/blob/hipster.txt;2023-05-18
10;Small North;../fake-data/blob/hipster.txt;2023-05-17
